prompt_id,condition,alpha,n_tokens,dim,mean_token_cosine,perturbation_norm,relative_perturbation_norm,pairwise_distance_distortion,anisotropy_original,anisotropy_transformed,anisotropy_delta,variance_ratio,linear_cka,neighbor_preservation_k3,neighbor_preservation_k5,neighbor_preservation_k10
p003,gaussian,0.01,9,64,0.9587372191114396,6.899444712118785,0.2900346280576845,0.03274633037339347,-0.00292159217150826,0.004293146313286088,0.007214738484794349,1.049634734858792,0.9924822714637895,0.8888888888888888,0.8888888888888888,1.0
p003,shuffled_chaos,0.01,9,64,0.9604991243026326,6.899444712118786,0.2900346280576845,0.00850400852380559,-0.00292159217150826,0.06915479132501695,0.07207638349652522,1.0074804019202033,0.9993607445546082,0.9629629629629629,0.911111111111111,1.0
p003,uniform,0.01,9,64,0.9605062563201388,6.899444712118787,0.29003462805768454,0.0506526016682264,-0.00292159217150826,-0.005696869037270637,-0.0027752768657623773,1.0926128137115425,0.9906554159980191,0.8518518518518519,0.8888888888888888,1.0
p003,chaos,0.05,9,64,0.5717410259616617,34.49722356059393,1.4501731402884226,0.09460143875042422,-0.00292159217150826,0.6153194237791137,0.618241015950622,1.180125980426832,0.981005474250327,0.7777777777777778,0.8,1.0
p003,gaussian,0.05,9,64,0.5732049773975665,34.49722356059393,1.4501731402884226,0.7761736420783714,-0.00292159217150826,0.0017175600414626705,0.0046391522129709305,3.1535715190642115,0.9293813511421988,0.4444444444444444,0.7333333333333333,1.0
p003,shuffled_chaos,0.05,9,64,0.5778289215434174,34.49722356059393,1.4501731402884226,0.11176548188997448,-0.00292159217150826,0.6120971768648711,0.6150187690363793,1.219940346640431,0.9846227733880053,0.7407407407407408,0.8222222222222223,1.0
p003,uniform,0.05,9,64,0.5808547550418115,34.49722356059393,1.4501731402884226,0.7964392278930182,-0.00292159217150826,-0.010927231554102164,-0.008005639382593905,3.1726463227437236,0.9268890105603967,0.5185185185185186,0.7333333333333333,1.0
p003,chaos,0.1,9,64,0.3327528302736724,68.99444712118786,2.900346280576845,0.30466937080679757,-0.00292159217150826,0.8191195101383889,0.8220411023098971,1.663753024841693,0.9442368200172823,0.5925925925925926,0.7333333333333333,1.0
p003,gaussian,0.1,9,64,0.3110505076361675,68.99444712118786,2.900346280576845,2.094804587217655,-0.00292159217150826,-0.026968438856610807,-0.024046846685102548,9.313053751806635,0.9206189709871898,0.5555555555555556,0.7333333333333333,1.0
p003,shuffled_chaos,0.1,9,64,0.31318694145223475,68.99444712118786,2.900346280576845,0.25021274135894656,-0.00292159217150826,0.8348919066571061,0.8378134988286143,1.5339539601752867,0.946932362706284,0.6296296296296295,0.7777777777777778,1.0
